"Date","Time","Open","High","Low","Close","Up","Down","xHigh","xLow","xOpen","xClose"
01/04/2014,13:45,1820.75,1821.25,1820.25,1820.25,4445,2345,1821.25,1819.97,1819.97,1820.39
01/04/2014,13:50,1820.25,1820.50,1819.75,1820.25,1072,1825,1820.50,1819.75,1820.18,1820.19
01/04/2014,13:55,1820.25,1824.00,1820.25,1823.00,19558,10478,1824.00,1820.18,1820.18,1822.09
01/04/2014,14:00,1823.00,1824.75,1822.75,1823.25,5670,3947,1824.75,1821.14,1821.14,1823.03
01/04/2014,14:05,1823.50,1824.25,1823.00,1823.25,2812,4068,1824.25,1822.08,1822.08,1823.17
01/04/2014,14:10,1823.50,1823.50,1822.00,1822.25,1606,5396,1823.50,1822.00,1822.62,1822.52
01/04/2014,14:15,1822.25,1824.25,1822.00,1823.75,11371,5910,1824.25,1822.00,1822.57,1823.26
01/04/2014,14:20,1823.75,1823.75,1822.25,1822.25,3081,6609,1823.75,1822.25,1822.92,1822.68
01/04/2014,14:25,1822.50,1824.50,1822.25,1823.50,10522,6633,1824.50,1822.25,1822.80,1823.31
01/04/2014,14:30,1823.75,1824.00,1822.25,1823.25,3026,5111,1824.00,1822.25,1823.06,1823.16
01/04/2014,14:35,1823.00,1823.75,1823.00,1823.50,4913,5208,1823.75,1823.00,1823.11,1823.37
01/04/2014,14:40,1823.25,1825.00,1823.25,1824.50,6851,2671,1825.00,1823.24,1823.24,1824.10
01/04/2014,14:45,1824.50,1826.00,1824.25,1825.00,9335,4545,1826.00,1823.67,1823.67,1824.78
01/04/2014,14:50,1825.00,1825.75,1824.25,1825.25,6922,5731,1825.75,1824.23,1824.23,1824.95
01/04/2014,14:55,1825.25,1825.75,1824.50,1824.75,4450,3577,1825.75,1824.50,1824.59,1824.87
01/04/2014,15:00,1825.00,1825.75,1824.75,1825.25,4296,4338,1825.75,1824.73,1824.73,1825.15
01/04/2014,15:05,1825.00,1825.25,1823.50,1823.50,7354,9053,1825.25,1823.50,1824.94,1824.14
01/04/2014,15:10,1823.50,1824.50,1823.00,1823.75,3438,5668,1824.54,1823.00,1824.54,1823.91
01/04/2014,15:15,1823.75,1824.75,1823.50,1824.50,7854,4970,1824.75,1823.50,1824.22,1824.29
01/04/2014,15:20,1824.50,1825.50,1824.00,1824.75,4930,3243,1825.50,1824.00,1824.26,1824.65
01/04/2014,15:25,1825.00,1825.00,1824.00,1824.75,2124,1971,1825.00,1824.00,1824.45,1824.59
01/04/2014,15:30,1824.75,1825.00,1824.00,1824.75,2994,4693,1825.00,1824.00,1824.52,1824.60
01/04/2014,15:35,1824.75,1825.00,1821.50,1821.50,2684,7860,1825.00,1821.50,1824.56,1822.81
01/04/2014,15:40,1821.75,1822.75,1821.50,1822.50,8936,3791,1823.69,1821.50,1823.69,1822.59
01/04/2014,15:45,1822.50,1823.00,1821.75,1822.50,6607,4309,1823.14,1821.75,1823.14,1822.58
01/04/2014,15:50,1822.75,1823.75,1822.75,1823.00,6530,3162,1823.75,1822.75,1822.86,1823.07
01/04/2014,15:55,1823.00,1823.50,1822.75,1823.25,4241,4909,1823.50,1822.75,1822.96,1823.14
01/04/2014,16:00,1823.25,1823.50,1820.00,1820.75,24140,33017,1823.50,1820.00,1823.05,1821.61
01/04/2014,16:05,1820.75,1821.25,1820.00,1820.25,17520,21085,1822.33,1820.00,1822.33,1820.82
01/04/2014,16:10,1820.50,1820.75,1820.00,1820.75,5888,5462,1821.57,1820.00,1821.57,1820.76
01/04/2014,16:15,1820.75,1821.25,1820.25,1820.50,10355,11824,1821.25,1820.25,1821.17,1820.73
01/04/2014,16:35,1820.50,1820.50,1820.00,1820.00,383,1490,1820.95,1820.00,1820.95,1820.29
01/04/2014,16:40,1820.25,1820.25,1820.00,1820.25,1668,241,1820.62,1820.00,1820.62,1820.27
01/04/2014,16:45,1820.25,1820.25,1819.25,1820.25,1114,1907,1820.45,1819.25,1820.45,1820.09
01/04/2014,16:50,1820.25,1820.25,1819.75,1819.75,60,382,1820.27,1819.75,1820.27,1819.95
01/04/2014,16:55,1819.75,1820.00,1819.50,1819.50,40,512,1820.11,1819.50,1820.11,1819.72
01/04/2014,17:00,1819.75,1819.75,1819.50,1819.75,231,590,1819.92,1819.50,1819.92,1819.73
01/04/2014,17:05,1819.75,1819.75,1819.50,1819.75,14,255,1819.83,1819.50,1819.83,1819.72
